family,category,split,path,source,license,selection_seed,latin_support,validation_status,failure_reason,usable,slug,catalog_category,metadata_category,metadata_url,source_url,license_url,license_path,subsets
Alfa Slab One,display,validation,data/raw/fonts/google_fonts/display/Alfa_Slab_One__AlfaSlabOne-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,alfaslabone,display,DISPLAY,https://raw.githubusercontent.com/google/fonts/main/ofl/alfaslabone/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/alfaslabone/AlfaSlabOne-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/alfaslabone/OFL.txt,data/raw/fonts/google_fonts/display/Alfa_Slab_One__OFL.txt,"latin,latin-ext,menu,vietnamese"
Black Ops One,display,validation,data/raw/fonts/google_fonts/display/Black_Ops_One__BlackOpsOne-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,blackopsone,display,DISPLAY,https://raw.githubusercontent.com/google/fonts/main/ofl/blackopsone/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/blackopsone/BlackOpsOne-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/blackopsone/OFL.txt,data/raw/fonts/google_fonts/display/Black_Ops_One__OFL.txt,"cyrillic-ext,latin,latin-ext,menu,vietnamese"
Anton,display,test,data/raw/fonts/google_fonts/display/Anton__Anton-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,anton,display,DISPLAY,https://raw.githubusercontent.com/google/fonts/main/ofl/anton/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/anton/Anton-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/anton/OFL.txt,data/raw/fonts/google_fonts/display/Anton__OFL.txt,"latin,latin-ext,menu,vietnamese"
Creepster,display,test,data/raw/fonts/google_fonts/display/Creepster__Creepster-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,creepster,display,DISPLAY,https://raw.githubusercontent.com/google/fonts/main/ofl/creepster/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/creepster/Creepster-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/creepster/OFL.txt,data/raw/fonts/google_fonts/display/Creepster__OFL.txt,"menu,latin,latin-ext"
Modak,display,test,data/raw/fonts/google_fonts/display/Modak__Modak-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,modak,display,DISPLAY,https://raw.githubusercontent.com/google/fonts/main/ofl/modak/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/modak/Modak-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/modak/OFL.txt,data/raw/fonts/google_fonts/display/Modak__OFL.txt,"menu,devanagari,latin,latin-ext"
Bad Script,handwriting,train,data/raw/fonts/google_fonts/handwriting/Bad_Script__BadScript-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,badscript,handwriting,HANDWRITING,https://raw.githubusercontent.com/google/fonts/main/ofl/badscript/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/badscript/BadScript-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/badscript/OFL.txt,data/raw/fonts/google_fonts/handwriting/Bad_Script__OFL.txt,"cyrillic,cyrillic-ext,latin,latin-ext,menu,vietnamese"
Cookie,handwriting,train,data/raw/fonts/google_fonts/handwriting/Cookie__Cookie-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,cookie,handwriting,HANDWRITING,https://raw.githubusercontent.com/google/fonts/main/ofl/cookie/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/cookie/Cookie-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/cookie/OFL.txt,data/raw/fonts/google_fonts/handwriting/Cookie__OFL.txt,"menu,latin,latin-ext"
Covered By Your Grace,handwriting,train,data/raw/fonts/google_fonts/handwriting/Covered_By_Your_Grace__CoveredByYourGrace.ttf,Google Fonts official repository,OFL,42,True,passed,,True,coveredbyyourgrace,handwriting,HANDWRITING,https://raw.githubusercontent.com/google/fonts/main/ofl/coveredbyyourgrace/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/coveredbyyourgrace/CoveredByYourGrace.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/coveredbyyourgrace/OFL.txt,data/raw/fonts/google_fonts/handwriting/Covered_By_Your_Grace__OFL.txt,"menu,latin"
Gloria Hallelujah,handwriting,train,data/raw/fonts/google_fonts/handwriting/Gloria_Hallelujah__GloriaHallelujah.ttf,Google Fonts official repository,OFL,42,True,passed,,True,gloriahallelujah,handwriting,HANDWRITING,https://raw.githubusercontent.com/google/fonts/main/ofl/gloriahallelujah/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/gloriahallelujah/GloriaHallelujah.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/gloriahallelujah/OFL.txt,data/raw/fonts/google_fonts/handwriting/Gloria_Hallelujah__OFL.txt,"menu,latin"
Great Vibes,handwriting,train,data/raw/fonts/google_fonts/handwriting/Great_Vibes__GreatVibes-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,greatvibes,handwriting,HANDWRITING,https://raw.githubusercontent.com/google/fonts/main/ofl/greatvibes/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/greatvibes/GreatVibes-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/greatvibes/OFL.txt,data/raw/fonts/google_fonts/handwriting/Great_Vibes__OFL.txt,"cyrillic,cyrillic-ext,greek-ext,latin,latin-ext,menu,vietnamese"
Homemade Apple,handwriting,train,data/raw/fonts/google_fonts/handwriting/Homemade_Apple__HomemadeApple-Regular.ttf,Google Fonts official repository,APACHE2,42,True,passed,,True,homemadeapple,handwriting,HANDWRITING,https://raw.githubusercontent.com/google/fonts/main/apache/homemadeapple/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/apache/homemadeapple/HomemadeApple-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/apache/homemadeapple/LICENSE.txt,data/raw/fonts/google_fonts/handwriting/Homemade_Apple__LICENSE.txt,"latin,menu"
Indie Flower,handwriting,train,data/raw/fonts/google_fonts/handwriting/Indie_Flower__IndieFlower-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,indieflower,handwriting,HANDWRITING,https://raw.githubusercontent.com/google/fonts/main/ofl/indieflower/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/indieflower/IndieFlower-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/indieflower/OFL.txt,data/raw/fonts/google_fonts/handwriting/Indie_Flower__OFL.txt,"latin,latin-ext,menu,vietnamese"
Kalam,handwriting,train,data/raw/fonts/google_fonts/handwriting/Kalam__Kalam-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,kalam,handwriting,HANDWRITING,https://raw.githubusercontent.com/google/fonts/main/ofl/kalam/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/kalam/Kalam-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/kalam/OFL.txt,data/raw/fonts/google_fonts/handwriting/Kalam__OFL.txt,"menu,devanagari,latin,latin-ext"
Kaushan Script,handwriting,train,data/raw/fonts/google_fonts/handwriting/Kaushan_Script__KaushanScript-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,kaushanscript,handwriting,HANDWRITING,https://raw.githubusercontent.com/google/fonts/main/ofl/kaushanscript/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/kaushanscript/KaushanScript-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/kaushanscript/OFL.txt,data/raw/fonts/google_fonts/handwriting/Kaushan_Script__OFL.txt,"menu,latin,latin-ext"
Nanum Pen Script,handwriting,train,data/raw/fonts/google_fonts/handwriting/Nanum_Pen_Script__NanumPenScript-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,nanumpenscript,handwriting,HANDWRITING,https://raw.githubusercontent.com/google/fonts/main/ofl/nanumpenscript/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/nanumpenscript/NanumPenScript-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/nanumpenscript/OFL.txt,data/raw/fonts/google_fonts/handwriting/Nanum_Pen_Script__OFL.txt,"menu,latin,korean"
Patrick Hand,handwriting,train,data/raw/fonts/google_fonts/handwriting/Patrick_Hand__PatrickHand-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,patrickhand,handwriting,HANDWRITING,https://raw.githubusercontent.com/google/fonts/main/ofl/patrickhand/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/patrickhand/PatrickHand-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/patrickhand/OFL.txt,data/raw/fonts/google_fonts/handwriting/Patrick_Hand__OFL.txt,"menu,latin,latin-ext,vietnamese"
Yellowtail,handwriting,train,data/raw/fonts/google_fonts/handwriting/Yellowtail__Yellowtail-Regular.ttf,Google Fonts official repository,APACHE2,42,True,passed,,True,yellowtail,handwriting,HANDWRITING,https://raw.githubusercontent.com/google/fonts/main/apache/yellowtail/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/apache/yellowtail/Yellowtail-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/apache/yellowtail/LICENSE.txt,data/raw/fonts/google_fonts/handwriting/Yellowtail__LICENSE.txt,"latin,menu"
Allura,handwriting,validation,data/raw/fonts/google_fonts/handwriting/Allura__Allura-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,allura,handwriting,HANDWRITING,https://raw.githubusercontent.com/google/fonts/main/ofl/allura/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/allura/Allura-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/allura/OFL.txt,data/raw/fonts/google_fonts/handwriting/Allura__OFL.txt,"latin,latin-ext,menu,vietnamese"
Caveat,handwriting,validation,data/raw/fonts/google_fonts/handwriting/Caveat__Caveat[wght].ttf,Google Fonts official repository,OFL,42,True,passed,,True,caveat,handwriting,HANDWRITING,https://raw.githubusercontent.com/google/fonts/main/ofl/caveat/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/caveat/Caveat%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/caveat/OFL.txt,data/raw/fonts/google_fonts/handwriting/Caveat__OFL.txt,"cyrillic,cyrillic-ext,latin,latin-ext,menu"
Marck Script,handwriting,validation,data/raw/fonts/google_fonts/handwriting/Marck_Script__MarckScript-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,marckscript,handwriting,HANDWRITING,https://raw.githubusercontent.com/google/fonts/main/ofl/marckscript/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/marckscript/MarckScript-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/marckscript/OFL.txt,data/raw/fonts/google_fonts/handwriting/Marck_Script__OFL.txt,"menu,cyrillic,latin,latin-ext"
Courgette,handwriting,test,data/raw/fonts/google_fonts/handwriting/Courgette__Courgette-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,courgette,handwriting,HANDWRITING,https://raw.githubusercontent.com/google/fonts/main/ofl/courgette/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/courgette/Courgette-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/courgette/OFL.txt,data/raw/fonts/google_fonts/handwriting/Courgette__OFL.txt,"menu,latin,latin-ext"
Dancing Script,handwriting,test,data/raw/fonts/google_fonts/handwriting/Dancing_Script__DancingScript[wght].ttf,Google Fonts official repository,OFL,42,True,passed,,True,dancingscript,handwriting,HANDWRITING,https://raw.githubusercontent.com/google/fonts/main/ofl/dancingscript/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/dancingscript/DancingScript%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/dancingscript/OFL.txt,data/raw/fonts/google_fonts/handwriting/Dancing_Script__OFL.txt,"latin,latin-ext,menu,vietnamese"
Pacifico,handwriting,test,data/raw/fonts/google_fonts/handwriting/Pacifico__Pacifico-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,pacifico,handwriting,HANDWRITING,https://raw.githubusercontent.com/google/fonts/main/ofl/pacifico/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/pacifico/Pacifico-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/pacifico/OFL.txt,data/raw/fonts/google_fonts/handwriting/Pacifico__OFL.txt,"cyrillic,cyrillic-ext,latin,latin-ext,menu,vietnamese"
Anonymous Pro,monospace,train,data/raw/fonts/google_fonts/monospace/Anonymous_Pro__AnonymousPro-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,anonymouspro,monospace,MONOSPACE,https://raw.githubusercontent.com/google/fonts/main/ofl/anonymouspro/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/anonymouspro/AnonymousPro-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/anonymouspro/OFL.txt,data/raw/fonts/google_fonts/monospace/Anonymous_Pro__OFL.txt,"cyrillic,greek,latin,latin-ext,menu"
Azeret Mono,monospace,train,data/raw/fonts/google_fonts/monospace/Azeret_Mono__AzeretMono[wght].ttf,Google Fonts official repository,OFL,42,True,passed,,True,azeretmono,monospace,MONOSPACE,https://raw.githubusercontent.com/google/fonts/main/ofl/azeretmono/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/azeretmono/AzeretMono%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/azeretmono/OFL.txt,data/raw/fonts/google_fonts/monospace/Azeret_Mono__OFL.txt,"latin,latin-ext,menu"
DM Mono,monospace,train,data/raw/fonts/google_fonts/monospace/DM_Mono__DMMono-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,dmmono,monospace,MONOSPACE,https://raw.githubusercontent.com/google/fonts/main/ofl/dmmono/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/dmmono/DMMono-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/dmmono/OFL.txt,data/raw/fonts/google_fonts/monospace/DM_Mono__OFL.txt,"latin,latin-ext,menu"
Fira Code,monospace,train,data/raw/fonts/google_fonts/monospace/Fira_Code__FiraCode[wght].ttf,Google Fonts official repository,OFL,42,True,passed,,True,firacode,monospace,MONOSPACE,https://raw.githubusercontent.com/google/fonts/main/ofl/firacode/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/firacode/FiraCode%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/firacode/OFL.txt,data/raw/fonts/google_fonts/monospace/Fira_Code__OFL.txt,"cyrillic,cyrillic-ext,greek,greek-ext,latin,latin-ext,symbols2,menu"
JetBrains Mono,monospace,train,data/raw/fonts/google_fonts/monospace/JetBrains_Mono__JetBrainsMono[wght].ttf,Google Fonts official repository,OFL,42,True,passed,,True,jetbrainsmono,monospace,MONOSPACE,https://raw.githubusercontent.com/google/fonts/main/ofl/jetbrainsmono/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/jetbrainsmono/JetBrainsMono%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/jetbrainsmono/OFL.txt,data/raw/fonts/google_fonts/monospace/JetBrains_Mono__OFL.txt,"cyrillic,cyrillic-ext,greek,latin,latin-ext,menu,vietnamese"
Overpass Mono,monospace,train,data/raw/fonts/google_fonts/monospace/Overpass_Mono__OverpassMono[wght].ttf,Google Fonts official repository,OFL,42,True,passed,,True,overpassmono,monospace,MONOSPACE,https://raw.githubusercontent.com/google/fonts/main/ofl/overpassmono/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/overpassmono/OverpassMono%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/overpassmono/OFL.txt,data/raw/fonts/google_fonts/monospace/Overpass_Mono__OFL.txt,"cyrillic,cyrillic-ext,latin,latin-ext,menu,vietnamese"
Oxygen Mono,monospace,train,data/raw/fonts/google_fonts/monospace/Oxygen_Mono__OxygenMono-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,oxygenmono,monospace,MONOSPACE,https://raw.githubusercontent.com/google/fonts/main/ofl/oxygenmono/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/oxygenmono/OxygenMono-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/oxygenmono/OFL.txt,data/raw/fonts/google_fonts/monospace/Oxygen_Mono__OFL.txt,"menu,latin,latin-ext"
PT Mono,monospace,train,data/raw/fonts/google_fonts/monospace/PT_Mono__PTM55FT.ttf,Google Fonts official repository,OFL,42,True,passed,,True,ptmono,monospace,MONOSPACE,https://raw.githubusercontent.com/google/fonts/main/ofl/ptmono/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/ptmono/PTM55FT.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/ptmono/OFL.txt,data/raw/fonts/google_fonts/monospace/PT_Mono__OFL.txt,"menu,cyrillic,cyrillic-ext,latin,latin-ext"
Share Tech Mono,monospace,train,data/raw/fonts/google_fonts/monospace/Share_Tech_Mono__ShareTechMono-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,sharetechmono,monospace,MONOSPACE,https://raw.githubusercontent.com/google/fonts/main/ofl/sharetechmono/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/sharetechmono/ShareTechMono-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/sharetechmono/OFL.txt,data/raw/fonts/google_fonts/monospace/Share_Tech_Mono__OFL.txt,"menu,latin"
Source Code Pro,monospace,train,data/raw/fonts/google_fonts/monospace/Source_Code_Pro__SourceCodePro[wght].ttf,Google Fonts official repository,OFL,42,True,passed,,True,sourcecodepro,monospace,MONOSPACE,https://raw.githubusercontent.com/google/fonts/main/ofl/sourcecodepro/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/sourcecodepro/SourceCodePro%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/sourcecodepro/OFL.txt,data/raw/fonts/google_fonts/monospace/Source_Code_Pro__OFL.txt,"cyrillic,cyrillic-ext,greek,greek-ext,latin,latin-ext,menu,vietnamese"
Space Mono,monospace,train,data/raw/fonts/google_fonts/monospace/Space_Mono__SpaceMono-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,spacemono,monospace,MONOSPACE,https://raw.githubusercontent.com/google/fonts/main/ofl/spacemono/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/spacemono/SpaceMono-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/spacemono/OFL.txt,data/raw/fonts/google_fonts/monospace/Space_Mono__OFL.txt,"latin,latin-ext,menu,vietnamese"
Ubuntu Mono,monospace,train,data/raw/fonts/google_fonts/monospace/Ubuntu_Mono__UbuntuMono-Regular.ttf,Google Fonts official repository,UFL,42,True,passed,,True,ubuntumono,monospace,MONOSPACE,https://raw.githubusercontent.com/google/fonts/main/ufl/ubuntumono/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ufl/ubuntumono/UbuntuMono-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ufl/ubuntumono/UFL.txt,data/raw/fonts/google_fonts/monospace/Ubuntu_Mono__UFL.txt,"menu,cyrillic,cyrillic-ext,greek,greek-ext,latin,latin-ext"
Cousine,monospace,validation,data/raw/fonts/google_fonts/monospace/Cousine__Cousine-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,cousine,monospace,MONOSPACE,https://raw.githubusercontent.com/google/fonts/main/ofl/cousine/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/cousine/Cousine-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/cousine/OFL.txt,data/raw/fonts/google_fonts/monospace/Cousine__OFL.txt,"cyrillic,cyrillic-ext,greek,greek-ext,hebrew,latin,latin-ext,menu,vietnamese"
Cutive Mono,monospace,validation,data/raw/fonts/google_fonts/monospace/Cutive_Mono__CutiveMono-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,cutivemono,monospace,MONOSPACE,https://raw.githubusercontent.com/google/fonts/main/ofl/cutivemono/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/cutivemono/CutiveMono-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/cutivemono/OFL.txt,data/raw/fonts/google_fonts/monospace/Cutive_Mono__OFL.txt,"latin,latin-ext,menu"
IBM Plex Mono,monospace,validation,data/raw/fonts/google_fonts/monospace/IBM_Plex_Mono__IBMPlexMono-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,ibmplexmono,monospace,MONOSPACE,https://raw.githubusercontent.com/google/fonts/main/ofl/ibmplexmono/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/ibmplexmono/IBMPlexMono-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/ibmplexmono/OFL.txt,data/raw/fonts/google_fonts/monospace/IBM_Plex_Mono__OFL.txt,"cyrillic,cyrillic-ext,latin,latin-ext,menu,vietnamese"
Fira Mono,monospace,test,data/raw/fonts/google_fonts/monospace/Fira_Mono__FiraMono-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,firamono,monospace,MONOSPACE,https://raw.githubusercontent.com/google/fonts/main/ofl/firamono/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/firamono/FiraMono-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/firamono/OFL.txt,data/raw/fonts/google_fonts/monospace/Fira_Mono__OFL.txt,"cyrillic,cyrillic-ext,greek,greek-ext,latin,latin-ext,menu,symbols2"
Roboto Mono,monospace,test,data/raw/fonts/google_fonts/monospace/Roboto_Mono__RobotoMono[wght].ttf,Google Fonts official repository,OFL,42,True,passed,,True,robotomono,monospace,MONOSPACE,https://raw.githubusercontent.com/google/fonts/main/ofl/robotomono/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/robotomono/RobotoMono%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/robotomono/OFL.txt,data/raw/fonts/google_fonts/monospace/Roboto_Mono__OFL.txt,"cyrillic,cyrillic-ext,greek,latin,latin-ext,menu,vietnamese"
Sometype Mono,monospace,test,data/raw/fonts/google_fonts/monospace/Sometype_Mono__SometypeMono[wght].ttf,Google Fonts official repository,OFL,42,True,passed,,True,sometypemono,monospace,MONOSPACE,https://raw.githubusercontent.com/google/fonts/main/ofl/sometypemono/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/sometypemono/SometypeMono%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/sometypemono/OFL.txt,data/raw/fonts/google_fonts/monospace/Sometype_Mono__OFL.txt,"latin,latin-ext,menu"
